2025-06-05 11:44:34,796 [main] INFO  [com.miguoma.by.ByAdminApplication] StartupInfoLogger.java:51 - Starting ByAdminApplication using Java 17.0.15 with PID 26640 (C:\Users\liliangyu\project\baiya\by-admin\target\classes started by liliangyu in C:\Users\liliangyu\project\baiya\.cursor)
2025-06-05 11:44:34,817 [main] INFO  [com.miguoma.by.ByAdminApplication] SpringApplication.java:632 - No active profile set, falling back to 1 default profile: "default"
2025-06-05 11:44:36,785 [main] INFO  [o.s.d.r.config.RepositoryConfigurationDelegate] RepositoryConfigurationDelegate.java:291 - Multiple Spring Data modules found, entering strict repository configuration mode
2025-06-05 11:44:36,795 [main] INFO  [o.s.d.r.config.RepositoryConfigurationDelegate] RepositoryConfigurationDelegate.java:138 - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2025-06-05 11:44:36,932 [main] INFO  [o.s.d.r.config.RepositoryConfigurationDelegate] RepositoryConfigurationDelegate.java:208 - Finished Spring Data repository scanning in 102 ms. Found 0 Redis repository interfaces.
2025-06-05 11:44:38,579 [main] WARN  [io.undertow.websockets.jsr] Bootstrap.java:68 - UT026010: Buffer pool was not set on WebSocketDeploymentInfo, the default pool will be used
2025-06-05 11:44:38,641 [main] INFO  [io.undertow.servlet] ServletContextImpl.java:372 - Initializing Spring embedded WebApplicationContext
2025-06-05 11:44:38,644 [main] INFO  [o.s.b.w.s.c.ServletWebServerApplicationContext] ServletWebServerApplicationContext.java:291 - Root WebApplicationContext: initialization completed in 3742 ms
2025-06-05 11:44:46,800 [main] INFO  [o.s.b.actuate.endpoint.web.EndpointLinksResolver] EndpointLinksResolver.java:58 - Exposing 1 endpoint(s) beneath base path '/actuator'
2025-06-05 11:44:47,107 [main] INFO  [io.undertow] Undertow.java:120 - starting server: Undertow - 2.3.4.Final
2025-06-05 11:44:47,159 [main] INFO  [org.xnio] Xnio.java:95 - XNIO version 3.8.8.Final
2025-06-05 11:44:47,185 [main] INFO  [org.xnio.nio] NioXnio.java:58 - XNIO NIO Implementation Version 3.8.8.Final
2025-06-05 11:44:47,409 [main] INFO  [org.jboss.threads] Version.java:55 - JBoss Threads version 3.5.0.Final
2025-06-05 11:44:47,584 [main] INFO  [o.s.boot.web.embedded.undertow.UndertowWebServer] UndertowWebServer.java:121 - Undertow started on port(s) 8080 (http)
2025-06-05 11:44:47,619 [main] INFO  [com.miguoma.by.ByAdminApplication] StartupInfoLogger.java:57 - Started ByAdminApplication in 13.653 seconds (process running for 14.964)
2025-06-05 11:44:48,716 [main] INFO  [com.miguoma.by.common.cache.QrCodeCache] QrCodeCache.java:60 - QR code cache already exists, skip initialization
2025-06-05 11:44:49,334 [RMI TCP Connection(2)-127.0.0.1] INFO  [io.undertow.servlet] ServletContextImpl.java:372 - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-06-05 11:44:49,335 [RMI TCP Connection(2)-127.0.0.1] INFO  [org.springframework.web.servlet.DispatcherServlet] FrameworkServlet.java:532 - Initializing Servlet 'dispatcherServlet'
2025-06-05 11:44:49,341 [RMI TCP Connection(2)-127.0.0.1] INFO  [org.springframework.web.servlet.DispatcherServlet] FrameworkServlet.java:554 - Completed initialization in 6 ms
